lesson,lesson_raw,expression,reading,meaning,decision,target_theme,notes
1,1,いいえ,いいえ,no,,,
1,1,こちらは　～さんです。,こちらは　~さんです。,This is Mr./Ms. ~.,,,
1,1,失礼ですが,失礼[しつれい]ですが,"Excuse me, but (used when asking someone for personal information such as their name or address)",,,
1,1,［どうぞ］　よろしく　［お願いします］。,［どうぞ］　よろしく　［お 願[ねが]いします］。,Pleased to meet you. (lit. Please be nice to me. Usually used at the end of a self-introduction.),,,
1,1,～から　来ました。,~から　 来[き]ました。,I`m from ~ (country).,,,
1,1,～さん,~さん,"Mr., Ms. (suffix added to a name for expressing politeness)",,,
1,1,～ちゃん,~ちゃん,(suffix often added to a child:s name instead of ~san),,,
2,2,CD,CD,"CD, compact disc",,,
2,2,あ,あ,Oh! (used when becoming aware of something),,,
2,2,あの　～,あの　~,"that ~, that ~ over there",,,
2,2,あのう。。。,あのう。。。,Er...(used to show hesitation),,,
2,2,あれ,あれ,that (thing over there),,,
2,2,えっ,えっ,Oh? What! (used when hearing something unexpected),,,
2,2,こちらこそ　［どうぞ］　よろしく　［お願いします］,こちらこそ　［どうぞ］　よろしく　［お 願[ねが]いします］,"Pleased to meet you, too. (response to ［どうぞ］　よろしく　［お願いします］）",,,
2,2,この　～,この　~,"this ~, this ~ here",,,
2,2,これ,これ,this (thing here),,,
2,2,これから　お世話に　なります。,これから　お 世話[せわ]に　なります。,Thank you in advance for your kindness.,,,
2,2,そう,そう,so,,,
2,2,そうですか。,そうですか。,I see.,,,
2,2,その　～,その　~,"that ~, that ~ near the listener",,,
2,2,それ,それ,that (thing near the listener),,,
2,2,どうぞ。,どうぞ。,Here you are. (used when offering someone something),,,
2,2,テルビ,テルビ,television,,,
2,2,名称,名称[めいし],business card,,,
2,2,違います。,違[ちが]います。,"No, it isn`t./You are wrong.",,,
2,2,［どうも］　ありがとう　［ございます］。,［どうも］　ありがとう　［ございます］。,Thank you [very much].,,,
3,3,あそこ,あそこ,that place over there,,,
3,3,あちら,あちら,"that way, that place over there (polite equivalent of あそこ）",,,
3,3,いらっしゃいませ。,いらっしゃいませ。,"Welcome./May I help you? (a greeting to a customer or a guest entering a shop, etc.)",,,
3,3,ここ,ここ,"here, this place",,,
3,3,こちら,こちら,"this way, this place (polite equivalent of ここ）",,,
3,3,すみません。,すみません。,Excuse me.,,,
3,3,そこ,そこ,"there, that place near the listener",,,
3,3,どうも。,どうも。,Thanks.,,,
3,3,ーえん,ーえん,- yen,,,
3,3,［～を］ください。,［~を］ください。,"Give me [~], please.",,,
3,3,［～を］みせて　ください。,［~を］みせて　ください。,Please show me [~].,,,
4,4,たいへんですね。,たいへんですね。,That's tough isn't it? (used when expressing sympathy),,,
4,4,ーじ,ーじ,- o`clock,,,
4,4,寝ます,寝[ね]ます,"sleep, go to bed",,,
4,4,（－分）（－ぷん）,（ ー分[ふん]）（ーぷん）,- minute,,,
4,4,～から,〜から,from ~,,,
4,4,～と～,~と~,and (used to connect nouns),,,
4,4,～まで,~まで,"up to ~, until ~",,,
5,5,ついたち　（1日）,ついたち　（ 1 日）,first day of the month,,,
5,5,七日,七[なの]日[か],"seventh, seven days",,,
5,5,三日,三[みっ] 日[か],"third, three days",,,
5,5,九日,九[ここの]日[か],"ninth, nine days",,,
5,5,二十四日,二[に]十[じゅう]四[よっ]日[か],"twenty-fourth, twenty-four days",,,
5,5,二日,二[ふつ]日[か],"The second, two days",,,
5,5,五日,五[いつ]日[か],"fifth, five days",,,
5,5,何年,何[なん] 年[ねん],what year,,,
5,5,何日,何[なん] 日[にち],"which day of the month, how many days",,,
5,5,何月,何[なん] 月[がつ],what month,,,
5,5,八日,八[よう] 日[か],"eigth, eight days",,,
